"study","effect_id","nmda_antagonist","hedges_g","ci_lb","ci_ub"
"Bois 2008",907,"Phencyclidine",0.283,-0.461,1.028
"Franscescon 2021",913,"MK-801",-2.236,-3.679,-0.794
"Hereta 2019",969,"MK-801",-5.044,-7.357,-2.73
"Hereta 2019",972,"MK-801",-3.68,-5.537,-1.823
"Hereta 2019",975,"MK-801",-4.816,-7.051,-2.582
"Hereta 2019",978,"MK-801",-5.414,-7.858,-2.97
"Hereta 2019",982,"MK-801",-6.36,-9.145,-3.575
"Hernandez-Frausto 2019",983,"MK-801",0.245,-0.635,1.124
"Hernandez-Frausto 2019",984,"MK-801",-1.661,-2.677,-0.644
"Huang 2012",985,"MK-801",-0.514,-1.623,0.594
"Li 2012",1004,"Phencyclidine",-0.259,-1.243,0.725
"Li 2012",1003,"Phencyclidine",-1.333,-2.417,-0.25
"Matricon 2016",1006,"Phencyclidine",-1.65,-3.255,-0.046
"Matsuoka 2005",1008,"MK-801",-1.841,-2.516,-1.166
"Mccutcheon 2017",1009,"MK-801",0.27,-0.867,1.407
"Morimoto 2002",1013,"MK-801",-9.21,-13.433,-4.988
"Morimoto 2002",1015,"MK-801",-9.293,-13.55,-5.036
"Morimoto 2002",1016,"MK-801",-12.339,-17.887,-6.791
"Morimoto 2002",1018,"MK-801",-8.85,-12.922,-4.778
"Morimoto 2002",1020,"MK-801",-12.119,-17.573,-6.665
"Nawwar 2022",1023,"Ketamine",-8.923,-13.026,-4.821
"Noda 2021",1024,"Phencyclidine",-1.71,-2.463,-0.956
"Noda 2021",1025,"Phencyclidine",-0.805,-1.476,-0.135
"Noda 2021",1026,"Phencyclidine",-1.637,-2.382,-0.892
"Noda 2021",1027,"Phencyclidine",-2.938,-4.091,-1.784
"Noda 2021",1028,"Phencyclidine",-2.447,-3.505,-1.389
"Onaolapo 2017 c",1029,"Ketamine",-15.255,-22.055,-8.455
"Onaolapo 2017 c",1030,"Ketamine",-18.247,-26.34,-10.155
"Pacheco 2019",1039,"Ketamine",-1.833,-2.786,-0.879
"Pacheco 2019",1051,"Ketamine",-0.531,-1.345,0.283
"Pacheco 2019",1040,"Ketamine",-1.686,-2.618,-0.755
"Pacheco 2019",1052,"Ketamine",0.009,-0.791,0.809
"Pacheco 2019",1041,"Ketamine",-1.024,-1.875,-0.173
"Pacheco 2019",1053,"Ketamine",-0.263,-1.067,0.54
"Pacheco 2019",1042,"Ketamine",-0.993,-1.841,-0.145
"Pacheco 2019",1054,"Ketamine",-0.145,-0.947,0.656
"Peng 2022",1055,"MK-801",-7.017,-9.638,-4.396
"Rung 2005 b",1057,"MK-801",-1.033,-2.016,-0.049
"Rung 2005 b",1059,"MK-801",-1.626,-2.931,-0.321
"Rung 2005 b",1061,"MK-801",-1.486,-2.886,-0.086
"Rung 2005 b",1063,"MK-801",-1.325,-2.174,-0.476
"Sams-Dodd 1995",1065,"Phencyclidine",0.179,-0.747,1.104
"Sams-Dodd 1995",1074,"Phencyclidine",-0.417,-1.351,0.517
"Sams-Dodd 1995",1066,"Phencyclidine",0.215,-0.711,1.142
"Sams-Dodd 1995",1075,"Phencyclidine",-0.119,-1.044,0.806
"Sams-Dodd 1995",1067,"Phencyclidine",0.045,-0.88,0.969
"Sams-Dodd 1995",1076,"Phencyclidine",0.097,-0.828,1.021
"Sams-Dodd 1995",1068,"Phencyclidine",0.202,-0.725,1.128
"Sams-Dodd 1995",1077,"Phencyclidine",0.61,-0.335,1.555
"Sams-Dodd 1995",1069,"Phencyclidine",-1.011,-1.992,-0.029
"Sams-Dodd 1995",1078,"Phencyclidine",-1.211,-2.216,-0.206
"Sams-Dodd 1995",1070,"Phencyclidine",-1.216,-2.222,-0.21
"Sams-Dodd 1995",1079,"Phencyclidine",-1.341,-2.364,-0.319
"Sams-Dodd 1995",1071,"Phencyclidine",-2.023,-3.16,-0.887
"Sams-Dodd 1995",1080,"Phencyclidine",-2.682,-3.955,-1.408
"Sams-Dodd 1995",1072,"Phencyclidine",-3.346,-4.777,-1.915
"Sams-Dodd 1995",1081,"Phencyclidine",-3.546,-5.027,-2.064
"Sams-Dodd 1995",1073,"Phencyclidine",-4.775,-6.588,-2.962
"Sams-Dodd 1995",1082,"Phencyclidine",-3.083,-4.449,-1.716
"Sams-Dodd 2004",1094,"MK-801",-5.435,-7.886,-2.984
"Sams-Dodd 2004",1092,"MK-801",0.322,-0.817,1.461
"Sams-Dodd 2004",1095,"MK-801",-9.972,-14.119,-5.825
"Sams-Dodd 2004",1093,"MK-801",1.094,-0.119,2.307
"Silvestre 1997",1100,"Ketamine",-1.13,-2.464,0.205
"Tanaka 2003",1105,"MK-801",-1.498,-2.403,-0.592
"Tanaka 2003",1113,"MK-801",-1.669,-2.598,-0.74
"Tanaka 2003",1104,"Phencyclidine",-1.292,-2.171,-0.412
"Tanaka 2003",1112,"Phencyclidine",-2.016,-2.999,-1.034
"Wang 2007",1116,"Phencyclidine",-1.336,-2.494,-0.177
"Wang 2007",1117,"Phencyclidine",-1.273,-2.514,-0.032
"Wang 2007",1118,"Phencyclidine",-1.7,-3.146,-0.254
"Wang 2007",1119,"Phencyclidine",-1.462,-2.857,-0.067
"Wang 2007",1120,"Phencyclidine",-1.483,-3.048,0.082
"Wang 2007",1121,"Phencyclidine",-1.7,-3.317,-0.083
"Wass 2009",1123,"Phencyclidine",-2.317,-3.919,-0.714
"White 2009",1124,"Phencyclidine",-0.137,-1.186,0.912
"Wieronska 2016",1126,"MK-801",-3.557,-5.784,-1.33
"Wozniak 2016",1128,"MK-801",-3.496,-5.7,-1.293
"Wozniak 2016",1130,"MK-801",-1.122,-2.613,0.369
"Yeap 2020",1136,"MK-801",0.283,-0.436,1.002
"Zugno 2016",1143,"Ketamine",-0.669,-1.943,0.605
"Zugno 2016",1140,"Ketamine",-1.406,-2.79,-0.021
